Hospital_Name,Hospital_Address,Opening_Hour,Hospital_Phone,Latitude,Longitude,Hospital_Si,Hospital_Gu
태능동물병원,서울 중랑구 동일로 920 3층,등록된 정보가 없습니다,02-973-1953,37.61259636,127.077593,서울,중랑구
치료멍멍동물병원 신사본원,서울 강남구 도산대로 309,등록된 정보가 없습니다,02-545-0075,37.5223482,127.0351877,서울,강남구
태일동물병원,서울 도봉구 해등로 184,등록된 정보가 없습니다,02-997-0075,37.65792771,127.0364004,서울,도봉구
두암한방동물병원,서울 양천구 목동중앙북로 73 2층, 월~토 10:00 ~ 19:00,02-846-4597,37.5468367,126.8715058,서울,양천구
공항축산동물병원,서울 강서구 개화동로29길 15,등록된 정보가 없습니다,02-2663-8520,37.56360462,126.8076512,서울,강서구
동물제중원 금손이동물병원,서울 서초구 서초대로 124,등록된 정보가 없습니다,02-581-5500,37.48811526,126.9960702,서울,서초구
닥터펫동물의료센터,서울 강남구 선릉로 620,등록된 정보가 없습니다,02-3443-8275,37.51208293,127.0434517,서울,강남구
강앤정동물병원,"서울 서대문구 가재울미래로 2 DMC파크뷰자이 204동 102-2,103-1호"," 월,화,수,금,토 09:30 ~ 21:00",02-305-7505,37.57442036,126.9178974,서울,서대문구
마음을나누는 동물병원,서울 서대문구 신촌로35길 10 이편한세상신총4단지 지하1층, 월~토 10:00 ~ 19:00,02-365-7582,37.5586217,126.9558604,서울,서대문구
대형동물병원,서울 강북구 한천로 1135, 월~금 09:30 ~ 18:30 · 휴게시간 월~금 12:30 ~ 14:00,02-998-1785,37.64589893,127.0182227,서울,강북구
다나동물병원,서울 동작구 동작대로 47,등록된 정보가 없습니다,02-3471-0375,37.48090427,126.9814596,서울,동작구
드림펫동물병원,서울 광진구 능동로 407,등록된 정보가 없습니다,02-464-7588,37.56543455,127.0837875,서울,광진구
